"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.10.2023","2.677,2","2.690,0","2.717,4","2.656,8","979,39K","-0,08%"
"20.10.2023","2.679,4","2.668,8","2.700,0","2.611,0","1,96M","0,71%"
"19.10.2023","2.660,6","2.520,8","2.675,4","2.517,0","3,28M","5,28%"
"18.10.2023","2.527,2","2.522,2","2.539,0","2.511,8","542,56K","-0,01%"
"17.10.2023","2.527,4","2.527,0","2.540,6","2.509,6","536,97K","-0,10%"
"16.10.2023","2.530,0","2.528,8","2.552,0","2.520,8","676,54K","0,69%"
"13.10.2023","2.512,6","2.470,0","2.534,0","2.466,0","1,24M","1,93%"
"12.10.2023","2.465,0","2.435,0","2.472,0","2.421,0","522,58K","0,86%"
"11.10.2023","2.444,0","2.490,8","2.500,0","2.420,0","646,51K","-1,66%"
"10.10.2023","2.485,2","2.478,0","2.507,8","2.454,2","831,59K","0,31%"
"09.10.2023","2.477,4","2.482,4","2.498,8","2.470,0","511,22K","-0,19%"
"06.10.2023","2.482,2","2.492,8","2.516,8","2.468,0","1,53M","0,09%"
"05.10.2023","2.480,0","2.390,0","2.483,6","2.360,2","2,26M","4,22%"
"04.10.2023","2.379,6","2.384,0","2.410,0","2.373,2","718,75K","-0,30%"
"03.10.2023","2.386,8","2.390,0","2.414,4","2.367,2","658,79K","-0,38%"
"02.10.2023","2.395,8","2.415,0","2.434,0","2.377,6","763,36K","-0,27%"
"29.09.2023","2.402,2","2.448,8","2.449,4","2.392,0","898,92K","-1,52%"
"28.09.2023","2.439,4","2.457,0","2.475,2","2.422,8","835,80K","-0,59%"
"27.09.2023","2.453,8","2.405,0","2.466,0","2.390,4","997,25K","2,63%"
"26.09.2023","2.391,0","2.390,8","2.411,8","2.352,8","707,58K","0,00%"
"25.09.2023","2.391,0","2.428,4","2.428,4","2.369,6","543,85K","-0,80%"
"22.09.2023","2.410,2","2.355,2","2.435,0","2.323,2","986,09K","2,33%"
"21.09.2023","2.355,4","2.401,4","2.419,0","2.350,8","1,15M","-2,59%"
